track_id,first_frame,last_frame,duration_seconds,total_distance_pixels,average_speed_pixels_per_second,min_x,max_x,min_y,max_y,path_length
91,265,306,1.3666666666666654,56.23511586708054,41.14764575640043,1207,1234,19,64,42
95,270,300,1.0,22.07106781186548,22.07106781186548,301,307,104,123,31
96,281,405,4.133333333333333,396.45668183781385,95.91693915430982,1129,1269,0,84,125
98,283,317,1.1333333333333329,66.12461179749809,58.34524570367481,1249,1313,30,39,35
100,294,329,1.166666666666666,53.39834563766817,45.77001054657274,1265,1266,-21,32,36
101,299,329,1.0,43.19348530673794,43.19348530673794,110,119,54,94,31
103,301,335,1.1333333333333329,18.414213562373096,16.24783549621156,1247,1257,46,51,35
105,314,349,1.166666666666666,113.68644370433573,97.44552317514496,1311,1420,17,44,36
111,325,365,1.3333333333333321,90.50758471104729,67.88068853328552,1265,1346,-1,29,41
113,329,359,1.0,34.627416997969526,34.627416997969526,1000,1021,62,85,31
115,342,385,1.4333333333333336,62.40742358205814,43.54006296422661,997,1011,95,145,44
116,358,390,1.0666666666666664,241.5414126221424,226.44507433325853,1274,1504,-24,48,33
118,366,396,1.0,32.41421356237309,32.41421356237309,1152,1184,73,74,31
120,382,599,7.2333333333333325,1845.921389146384,255.1965054119425,996,2096,755,980,218
122,384,416,1.0666666666666664,45.66562126173751,42.81151993287893,1172,1181,6,48,33
123,388,423,1.166666666666666,825.0888888239758,707.2190475634083,553,1378,25,29,36
127,405,443,1.2666666666666675,97.0480363953742,76.61687083845327,1247,1338,39,45,39
129,424,490,2.1999999999999993,219.97399877396745,99.98818126089432,1113,1288,43,81,67
135,456,491,1.1666666666666679,57.9749513537284,49.69281544605286,571,622,159,179,36
136,461,494,1.0999999999999979,131.43010351163485,119.48191228330464,1080,1202,-18,28,34
138,472,506,1.1333333333333346,54.67571368588881,48.24327678166654,1132,1173,20,46,35
139,472,505,1.0999999999999996,111.81788546843742,101.65262315312496,1125,1170,-50,50,34
140,477,517,1.333333333333334,130.54931392937928,97.91198544703441,1039,1165,20,30,41
141,479,511,1.0666666666666682,99.3349081072839,93.12647635057851,-13,75,81,124,33
143,498,542,1.466666666666665,107.44966231842085,73.26113339892339,1154,1251,36,66,45
147,530,566,1.1999999999999993,67.5733663054379,56.31113858786495,1145,1200,12,49,37
152,542,572,1.0,62.59579564207845,62.59579564207845,1125,1170,-13,28,31
154,556,592,1.1999999999999993,61.487635604769096,51.23969633730761,1236,1254,16,70,37
155,558,600,1.3999999999999986,74.3307975403345,53.0934268145247,1085,1154,22,32,43
157,580,616,1.2000000000000028,62.95865952144452,52.46554960120364,1195,1235,58,105,37
158,587,631,1.4666666666666686,30.779959875110045,20.986336278484096,1134,1148,25,41,45
159,593,666,2.4333333333333336,268.6918990353237,110.42132837068095,1098,1198,28,134,74
160,596,628,1.0666666666666664,9.414213562373096,8.825825214724778,1137,1138,25,34,33
163,614,674,2.0,196.759845704423,98.3799228522115,1051,1198,33,52,61
164,628,666,1.2666666666666657,75.23025596622495,59.39230734175658,1137,1175,17,79,39
166,641,707,2.1999999999999993,215.6821782780866,98.03735376276667,1014,1186,85,139,67
168,660,691,1.033333333333335,142.3175654603123,137.7266762519149,945,1081,-13,27,32
173,728,738,0.3333333333333357,15.128990204491961,45.38697061347556,1097,1103,79,92,11
