frame,timestamp,track_id,x,y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,speed_pixels_per_second,direction_angle,distance_traveled
3,0.1,1,73,276,34.66084083758149,180.29994393925244,112.85747494862291,373.40419419021316,78.19663411104142,193.10425025096072,0.0,,0.0
3,0.1,2,398,215,256.7764899645491,139.81283583998749,540.5675828406893,291.0715698598939,283.79109287614017,151.2587340199064,0.0,,0.0
3,0.1,3,681,163,445.3196480283381,105.3187277826845,917.8875757060139,220.7307575840601,472.56792767767575,115.41202980137558,0.0,,0.0
3,0.1,4,432,97,283.4836957027497,59.28063506684304,580.7954018845126,135.20278069971857,297.3117061817629,75.92214563287553,0.0,,0.0
3,0.1,5,841,40,552.1064906176803,22.637403794017978,1130.0553636472296,58.23991543353218,577.9488730295493,35.602511639514205,0.0,,0.0
4,0.13333333333333333,1,66,275,27.713859011358117,179.5805082391276,105.36595329335174,372.220320688525,77.65209428199361,192.63981244939743,212.13203435596427,188.13010235415598,7.0710678118654755
4,0.13333333333333333,2,400,214,258.90084436830114,138.75607640147058,543.0742628187675,290.1112088046515,284.17341845046633,151.3551324031809,67.0820393249937,333.434948822922,2.23606797749979
4,0.13333333333333333,3,678,162,443.03074419189545,105.294534200009,914.9112006858854,220.54622913163539,471.88045649399,115.25169493162639,94.86832980505139,198.434948822922,3.1622776601683795
4,0.13333333333333333,4,435,96,286.4597643835474,58.93710647854886,583.6791224474257,134.7643642695509,297.2193580638783,75.82725779100204,94.86832980505139,341.565051177078,3.1622776601683795
4,0.13333333333333333,5,840,40,551.3553064706632,22.971741731537684,1130.579200520729,58.66632227077208,579.2238940500658,35.694580539234394,30.0,,1.0
5,0.16666666666666666,1,61,275,23.490991940462983,179.15070928554783,100.37798105745733,371.08503314074346,76.88698911699436,191.93432385519563,150.0,180.0,5.0
5,0.16666666666666666,2,399,216,257.0887907609481,140.99087605595835,541.8029589455041,292.6399279222493,284.714168184556,151.64905186629093,67.0820393249937,116.56505117707798,2.23606797749979
5,0.16666666666666666,3,677,163,442.3827422963383,105.55764417674793,913.2001121489851,220.55890165379117,470.81736985264683,115.00125747704324,42.42640687119285,,1.4142135623730951
5,0.16666666666666666,4,438,98,287.89652483649354,59.806763133268014,588.9192248429183,136.54057850714935,301.02270000642477,76.73381537388133,108.16653826391968,33.69006752597977,3.605551275463989
5,0.16666666666666666,5,841,40,556.4611080679974,22.747226473494454,1127.0487597676597,57.8890125013821,570.5876516996623,35.14178602788765,30.0,,1.0
6,0.2,1,55,274,17.764017473392336,178.37379535270762,93.74246155458485,369.8104114529077,75.97844408119252,191.4366161002001,182.48287590894657,189.46232220802563,6.082762530298219
6,0.2,2,396,218,253.35727709704273,141.5610396691489,540.2047385388827,294.4590066717461,286.84746144184,152.89796700259723,108.16653826391968,146.30993247402023,3.605551275463989
6,0.2,3,676,162,441.3658009713602,105.3453235321213,911.8439117068374,220.27961507921106,470.4781107354772,114.93429154708976,42.42640687119285,,1.4142135623730951
6,0.2,4,443,99,291.14074773764946,60.909438070263114,595.3537362596755,138.3658501413415,304.2129885220261,77.45641207107838,152.97058540778355,11.30993247402023,5.0990195135927845
6,0.2,5,841,40,557.3966073553524,22.802247504235314,1126.1082814474744,57.82849438312938,568.7116740921219,35.02624687889407,0.0,,0.0
6,0.2,6,67,110,40.09741616738273,65.04122151401035,93.97784938439216,154.99447211078518,53.880433217009426,89.95325059677484,0.0,,0.0
7,0.23333333333333334,1,50,272,13.330144917381745,177.51007548409385,88.0153650690704,367.92192206285006,74.68522015168865,190.4118465787562,161.55494421403512,201.80140948635182,5.385164807134504
7,0.23333333333333334,2,390,218,246.77127125993823,141.88840014293288,534.4875382437106,295.53043455142847,287.71626698377236,153.6420344084956,180.0,180.0,6.0
7,0.23333333333333334,3,676,162,441.55717656909763,105.14174804842189,911.5923196789065,219.97984997306236,470.03514310980887,114.83810192464047,0.0,,0.0
7,0.23333333333333334,4,450,101,295.67997543834906,62.164301634558534,604.6478627292261,140.78914707946566,308.967887290877,78.62484544490712,218.40329667841553,15.945395900922847,7.280109889280518
7,0.23333333333333334,5,841,40,558.332106643461,22.857268534976175,1125.1678031265355,57.767976264876665,566.8356964830746,34.910707729900494,0.0,,0.0
7,0.23333333333333334,6,68,111,41.29025787221029,65.8155572763346,96.04457905155996,157.16747199585615,54.754321179349674,91.35191471952155,42.42640687119285,,1.4142135623730951
8,0.26666666666666666,1,47,271,11.034575057649931,176.35681141159472,84.5783676103721,366.32373567718804,73.54379255272217,189.96692426559332,94.86832980505139,198.434948822922,3.1622776601683795
8,0.26666666666666666,2,384,219,240.8072261377398,142.78936511423424,528.7743475109597,296.96616819939584,287.9671213732199,154.1768030851616,182.48287590894657,170.53767779197437,6.082762530298219
8,0.26666666666666666,3,676,162,442.7758666378702,104.98207888819769,910.8971280126761,219.31883911825412,468.12126137480595,114.33676023005643,0.0,,0.0
8,0.26666666666666666,4,454,102,298.7122568607568,62.83549723382644,609.7551717814215,141.98838629996067,311.0429149206647,79.15288906613424,123.69316876852982,14.036243467926454,4.123105625617661
8,0.26666666666666666,5,841,40,559.267605932323,22.912289565717035,1124.2273248048432,57.70745814662395,564.9597188725202,34.79516858090692,0.0,,0.0
8,0.26666666666666666,6,71,113,43.51750051166519,66.84634966451132,99.17172734542663,159.53717713405723,55.65422683376144,92.69082746954591,108.16653826391968,33.69006752597977,3.605551275463989
