track_id,first_frame,last_frame,duration_seconds,total_distance_pixels,average_speed_pixels_per_second,min_x,max_x,min_y,max_y,path_length
1,3,77,2.466666666666667,1039.421338219599,421.3870290079455,1473,2245,244,567,75
2,3,73,2.333333333333333,1959.2906198966543,839.6959799557092,1765,3265,789,1629,71
3,3,45,1.4,494.68347226064975,353.34533732903554,2711,3072,213,317,43
4,3,35,1.0666666666666667,176.4442502784209,165.4164846360196,386,388,229,405,33
5,3,50,1.5666666666666667,442.82385642835175,282.65352537979896,2757,3019,166,435,48
6,3,38,1.1666666666666665,309.7573811481553,265.50632669841883,1255,1386,574,854,36
7,3,102,3.3,2158.5162860657424,654.0958442623462,-246,485,-406,725,100
10,3,77,2.466666666666667,1050.346884638201,425.8163045830544,2703,3021,745,1427,75
13,5,48,1.4333333333333333,516.7237734768993,360.50495823969715,2713,3130,199,321,44
30,10,44,1.1333333333333333,181.96553429105262,160.5578243744582,470,570,35,181,35
31,10,104,3.1333333333333333,2194.241292419811,700.2897741765355,-696,1241,173,351,95
32,10,40,1.0,191.70209505544625,191.70209505544625,2733,2859,75,219,31
42,15,45,1.0,151.6972825379167,151.6972825379167,1741,1821,135,263,31
46,16,49,1.1,502.2196055150342,456.5632777409401,2460,2585,81,564,34
47,17,48,1.0333333333333334,3342.5477896020525,3234.7236673568245,1671,5009,-15,157,32
51,18,57,1.2999999999999998,508.3854716681874,391.0657474370673,1229,1534,167,291,40
54,19,55,1.2,387.1747490115025,322.6456241762521,2845,2986,-145,210,37
56,20,58,1.2666666666666666,317.2137843367857,250.43193500272557,536,844,19,68,39
59,21,123,3.3999999999999995,3612.682611806826,1062.553709354949,624,2962,398,1330,103
60,21,51,1.0,132.67788167605067,132.67788167605067,1660,1726,76,190,31
61,22,61,1.2999999999999998,2093.78388710321,1610.6029900793926,2530,3178,298,2287,40
66,24,159,4.5,2601.021881646447,578.0048625880994,1499,2339,21,548,136
68,25,55,0.9999999999999999,140.3773916177473,140.37739161774732,1681,1762,108,222,31
72,29,59,0.9999999999999999,100.25737381639479,100.2573738163948,1510,1556,334,422,31
74,30,61,1.0333333333333332,1128.2774352623799,1091.8813889635935,2669,3185,651,1654,32
75,31,120,2.966666666666667,2563.473274388877,864.0921149625428,2132,3038,572,1350,90
81,33,65,1.0666666666666664,226.31205241462112,212.16754913870736,58,225,196,318,33
82,33,70,1.2333333333333334,208.85274948834086,169.3400671527088,1830,2033,264,308,38
84,33,70,1.2333333333333334,131.8881059095012,106.93630208878476,1714,1839,155,190,38
86,35,77,1.4000000000000001,712.068692911321,508.62049493665785,2740,3053,899,1522,43
87,35,108,2.4333333333333336,1148.5640663554943,472.0126300091072,556,1561,276,432,74
89,36,77,1.366666666666667,160.64610671053072,117.5459317394127,855,927,355,493,42
90,37,140,3.4333333333333336,4129.872400962047,1202.8754565908876,125,3504,277,1716,104
91,37,73,1.1999999999999997,877.0264501809055,730.8553751507548,118,931,178,453,37
92,37,159,4.066666666666666,488.38409519737945,120.09444963869987,2774,2896,788,941,123
